Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
Washington,US,3/22/2020 23:45,6,0,0
Washington,US,3/22/2020 23:45,4,0,0
Washington,US,3/22/2020 23:45,4,0,0
Washington,US,3/22/2020 23:45,4,0,0
Washington,US,3/22/2020 23:45,3,0,0
Washington,US,3/22/2020 23:45,3,0,0
Washington,US,3/22/2020 23:45,3,0,0
Washington,US,3/22/2020 23:45,2,0,0
Washington,US,3/22/2020 23:45,1,0,0
Washington,US,3/22/2020 23:45,1,0,0
Washington,US,3/22/2020 23:45,1,0,0
Washington,US,3/22/2020 23:45,1,0,0
Washington,US,3/22/2020 23:45,1,0,0
Washington,US,3/22/2020 23:45,1,0,0
Washington,US,3/22/2020 23:45,1,0,0
Washington,US,3/22/2020 23:45,1,0,0
New Jersey,US,3/22/2020 23:45,457,6,0
New Jersey,US,3/22/2020 23:45,221,4,0
New Jersey,US,3/22/2020 23:45,172,4,0
New Jersey,US,3/22/2020 23:45,158,3,0
New Jersey,US,3/22/2020 23:45,147,0,0
New Jersey,US,3/22/2020 23:45,126,1,0
New Jersey,US,3/22/2020 23:45,124,0,0
New Jersey,US,3/22/2020 23:45,119,1,0
New Jersey,US,3/22/2020 23:45,102,1,0
New Jersey,US,3/22/2020 23:45,95,0,0
New Jersey,US,3/22/2020 23:45,51,0,0
New Jersey,US,3/22/2020 23:45,40,0,0
New Jersey,US,3/22/2020 23:45,26,0,0
New Jersey,US,3/22/2020 23:45,22,0,0
New Jersey,US,3/22/2020 23:45,16,0,0
New Jersey,US,3/22/2020 23:45,12,0,0
New Jersey,US,3/22/2020 23:45,9,0,0
New Jersey,US,3/22/2020 23:45,8,0,0
New Jersey,US,3/22/2020 23:45,5,0,0
New Jersey,US,3/22/2020 23:45,2,0,0
New Jersey,US,3/22/2020 23:45,1,0,0
New Jersey,US,3/22/2020 23:45,1,0,0
California,US,3/22/2020 23:45,407,5,0
California,US,3/22/2020 23:45,263,8,0
California,US,3/22/2020 23:45,155,0,0
California,US,3/22/2020 23:45,117,1,0
California,US,3/22/2020 23:45,108,0,0
California,US,3/22/2020 23:45,95,0,0
California,US,3/22/2020 23:45,71,0,0
California,US,3/22/2020 23:45,61,1,0
California,US,3/22/2020 23:45,53,3,0
California,US,3/22/2020 23:45,38,0,0
California,US,3/22/2020 23:45,31,2,0
California,US,3/22/2020 23:45,29,6,0
California,US,3/22/2020 23:45,27,0,0
California,US,3/22/2020 23:45,25,0,0
California,US,3/22/2020 23:45,22,1,0
California,US,3/22/2020 23:45,17,0,0
California,US,3/22/2020 23:45,15,0,0
California,US,3/22/2020 23:45,13,0,0
California,US,3/22/2020 23:45,13,0,0
California,US,3/22/2020 23:45,12,1,0
California,US,3/22/2020 23:45,12,0,0
California,US,3/22/2020 23:45,11,1,0
California,US,3/22/2020 23:45,6,0,0
California,US,3/22/2020 23:45,6,0,0
California,US,3/22/2020 23:45,6,0,0
California,US,3/22/2020 23:45,5,1,0
California,US,3/22/2020 23:45,5,0,0
California,US,3/22/2020 23:45,5,0,0
California,US,3/22/2020 23:45,3,0,0
California,US,3/22/2020 23:45,2,0,0
California,US,3/22/2020 23:45,2,0,0
California,US,3/22/2020 23:45,2,0,0
California,US,3/22/2020 23:45,2,0,0
California,US,3/22/2020 23:45,1,0,0
California,US,3/22/2020 23:45,1,0,0
California,US,3/22/2020 23:45,1,0,0
California,US,3/22/2020 23:45,1,0,0
California,US,3/22/2020 23:45,1,0,0
California,US,3/22/2020 23:45,1,0,0
California,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,805,4,0
Illinois,US,3/22/2020 23:45,79,0,0
Illinois,US,3/22/2020 23:45,69,0,0
Illinois,US,3/22/2020 23:45,21,1,0
Illinois,US,3/22/2020 23:45,13,0,0
Illinois,US,3/22/2020 23:45,12,0,0
Illinois,US,3/22/2020 23:45,6,0,0
Illinois,US,3/22/2020 23:45,4,1,0
Illinois,US,3/22/2020 23:45,4,0,0
Illinois,US,3/22/2020 23:45,4,0,0
Illinois,US,3/22/2020 23:45,3,0,0
Illinois,US,3/22/2020 23:45,3,0,0
Illinois,US,3/22/2020 23:45,3,0,0
Illinois,US,3/22/2020 23:45,2,0,0
Illinois,US,3/22/2020 23:45,2,0,0
Illinois,US,3/22/2020 23:45,2,0,0
Illinois,US,3/22/2020 23:45,2,3,0
Illinois,US,3/22/2020 23:45,2,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Illinois,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,477,5,0
Michigan,US,3/22/2020 23:45,277,2,0
Michigan,US,3/22/2020 23:45,140,1,0
Michigan,US,3/22/2020 23:45,35,0,0
Michigan,US,3/22/2020 23:45,22,1,0
Michigan,US,3/22/2020 23:45,14,0,0
Michigan,US,3/22/2020 23:45,11,0,0
Michigan,US,3/22/2020 23:45,8,0,0
Michigan,US,3/22/2020 23:45,7,0,0
Michigan,US,3/22/2020 23:45,6,0,0
Michigan,US,3/22/2020 23:45,6,0,0
Michigan,US,3/22/2020 23:45,5,0,0
Michigan,US,3/22/2020 23:45,3,0,0
Michigan,US,3/22/2020 23:45,2,0,0
Michigan,US,3/22/2020 23:45,2,0,0
Michigan,US,3/22/2020 23:45,2,0,0
Michigan,US,3/22/2020 23:45,2,0,0
Michigan,US,3/22/2020 23:45,2,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Michigan,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,227,0,0
Florida,US,3/22/2020 23:45,217,3,0
Florida,US,3/22/2020 23:45,72,0,0
Florida,US,3/22/2020 23:45,58,0,0
Florida,US,3/22/2020 23:45,39,1,0
Florida,US,3/22/2020 23:45,38,0,0
Florida,US,3/22/2020 23:45,35,0,0
Florida,US,3/22/2020 23:45,33,0,0
Florida,US,3/22/2020 23:45,33,2,0
Florida,US,3/22/2020 23:45,26,2,0
Florida,US,3/22/2020 23:45,24,0,0
Florida,US,3/22/2020 23:45,19,0,0
Florida,US,3/22/2020 23:45,16,0,0
Florida,US,3/22/2020 23:45,15,0,0
Florida,US,3/22/2020 23:45,14,0,0
Florida,US,3/22/2020 23:45,14,0,0
Florida,US,3/22/2020 23:45,13,1,0
Florida,US,3/22/2020 23:45,11,1,0
Florida,US,3/22/2020 23:45,11,0,0
Florida,US,3/22/2020 23:45,8,0,0
Florida,US,3/22/2020 23:45,8,0,0
Florida,US,3/22/2020 23:45,7,1,0
Florida,US,3/22/2020 23:45,7,0,0
Florida,US,3/22/2020 23:45,6,0,0
Florida,US,3/22/2020 23:45,5,1,0
Florida,US,3/22/2020 23:45,5,0,0
Florida,US,3/22/2020 23:45,5,0,0
Florida,US,3/22/2020 23:45,4,1,0
Florida,US,3/22/2020 23:45,4,0,0
Florida,US,3/22/2020 23:45,4,0,0
Florida,US,3/22/2020 23:45,3,0,0
Florida,US,3/22/2020 23:45,3,0,0
Florida,US,3/22/2020 23:45,2,0,0
Florida,US,3/22/2020 23:45,2,0,0
Florida,US,3/22/2020 23:45,2,0,0
Florida,US,3/22/2020 23:45,2,0,0
Florida,US,3/22/2020 23:45,2,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Florida,US,3/22/2020 23:45,1,0,0
Louisiana,US,3/22/2020 23:45,451,15,0
Louisiana,US,3/22/2020 23:45,166,3,0
Louisiana,US,3/22/2020 23:45,50,0,0
Louisiana,US,3/22/2020 23:45,22,0,0
Louisiana,US,3/22/2020 23:45,18,0,0
Louisiana,US,3/22/2020 23:45,15,0,0
Louisiana,US,3/22/2020 23:45,12,0,0
Louisiana,US,3/22/2020 23:45,12,0,0
Louisiana,US,3/22/2020 23:45,11,0,0
Louisiana,US,3/22/2020 23:45,11,0,0
Louisiana,US,3/22/2020 23:45,9,0,0
Louisiana,US,3/22/2020 23:45,7,0,0
Louisiana,US,3/22/2020 23:45,6,0,0
Louisiana,US,3/22/2020 23:45,5,0,0
Louisiana,US,3/22/2020 23:45,4,0,0
Louisiana,US,3/22/2020 23:45,4,0,0
Louisiana,US,3/22/2020 23:45,3,0,0
Louisiana,US,3/22/2020 23:45,3,0,0
Louisiana,US,3/22/2020 23:45,3,0,0
Louisiana,US,3/22/2020 23:45,2,0,0
Louisiana,US,3/22/2020 23:45,2,0,0
Louisiana,US,3/22/2020 23:45,2,0,0
Louisiana,US,3/22/2020 23:45,2,0,0
Louisiana,US,3/22/2020 23:45,2,0,0
Louisiana,US,3/22/2020 23:45,2,0,0
Louisiana,US,3/22/2020 23:45,2,0,0
Louisiana,US,3/22/2020 23:45,2,0,0
Louisiana,US,3/22/2020 23:45,1,1,0
Louisiana,US,3/22/2020 23:45,1,0,0
Louisiana,US,3/22/2020 23:45,1,0,0
Louisiana,US,3/22/2020 23:45,1,1,0
Louisiana,US,3/22/2020 23:45,1,0,0
Louisiana,US,3/22/2020 23:45,1,0,0
Louisiana,US,3/22/2020 23:45,1,0,0
Louisiana,US,3/22/2020 23:45,1,0,0
Louisiana,US,3/22/2020 23:45,1,0,0
Louisiana,US,3/22/2020 23:45,0,0,0
Massachusetts,US,3/22/2020 23:45,199,1,0
Massachusetts,US,3/22/2020 23:45,126,1,0
Massachusetts,US,3/22/2020 23:45,75,0,0
Massachusetts,US,3/22/2020 23:45,60,0,0
Massachusetts,US,3/22/2020 23:45,37,0,0
Massachusetts,US,3/22/2020 23:45,25,0,0
Massachusetts,US,3/22/2020 23:45,24,0,0
Massachusetts,US,3/22/2020 23:45,24,0,0
Massachusetts,US,3/22/2020 23:45,24,3,0
Massachusetts,US,3/22/2020 23:45,23,0,0
Massachusetts,US,3/22/2020 23:45,12,0,0
Massachusetts,US,3/22/2020 23:45,6,0,0
Massachusetts,US,3/22/2020 23:45,6,0,0
Massachusetts,US,3/22/2020 23:45,4,0,0
Massachusetts,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,131,2,0
Texas,US,3/22/2020 23:45,74,1,0
Texas,US,3/22/2020 23:45,62,0,0
Texas,US,3/22/2020 23:45,47,1,0
Texas,US,3/22/2020 23:45,46,1,0
Texas,US,3/22/2020 23:45,38,1,0
Texas,US,3/22/2020 23:45,30,0,0
Texas,US,3/22/2020 23:45,29,0,0
Texas,US,3/22/2020 23:45,16,0,0
Texas,US,3/22/2020 23:45,14,0,0
Texas,US,3/22/2020 23:45,13,0,0
Texas,US,3/22/2020 23:45,12,0,0
Texas,US,3/22/2020 23:45,11,0,0
Texas,US,3/22/2020 23:45,10,0,0
Texas,US,3/22/2020 23:45,10,0,0
Texas,US,3/22/2020 23:45,9,0,0
Texas,US,3/22/2020 23:45,9,0,0
Texas,US,3/22/2020 23:45,7,0,0
Texas,US,3/22/2020 23:45,7,0,0
Texas,US,3/22/2020 23:45,6,0,0
Texas,US,3/22/2020 23:45,4,0,0
Texas,US,3/22/2020 23:45,4,0,0
Texas,US,3/22/2020 23:45,3,1,0
Texas,US,3/22/2020 23:45,3,0,0
Texas,US,3/22/2020 23:45,3,0,0
Texas,US,3/22/2020 23:45,3,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,2,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Texas,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,111,2,0
Georgia,US,3/22/2020 23:45,67,2,0
Georgia,US,3/22/2020 23:45,56,1,0
Georgia,US,3/22/2020 23:45,53,0,0
Georgia,US,3/22/2020 23:45,52,6,0
Georgia,US,3/22/2020 23:45,36,10,0
Georgia,US,3/22/2020 23:45,27,1,0
Georgia,US,3/22/2020 23:45,18,0,0
Georgia,US,3/22/2020 23:45,16,0,0
Georgia,US,3/22/2020 23:45,16,0,0
Georgia,US,3/22/2020 23:45,13,0,0
Georgia,US,3/22/2020 23:45,10,0,0
Georgia,US,3/22/2020 23:45,9,1,0
Georgia,US,3/22/2020 23:45,9,1,0
Georgia,US,3/22/2020 23:45,9,0,0
Georgia,US,3/22/2020 23:45,9,0,0
Georgia,US,3/22/2020 23:45,8,0,0
Georgia,US,3/22/2020 23:45,8,0,0
Georgia,US,3/22/2020 23:45,7,0,0
Georgia,US,3/22/2020 23:45,4,0,0
Georgia,US,3/22/2020 23:45,4,0,0
Georgia,US,3/22/2020 23:45,4,0,0
Georgia,US,3/22/2020 23:45,4,0,0
Georgia,US,3/22/2020 23:45,4,0,0
Georgia,US,3/22/2020 23:45,4,0,0
Georgia,US,3/22/2020 23:45,4,0,0
Georgia,US,3/22/2020 23:45,4,0,0
Georgia,US,3/22/2020 23:45,3,0,0
Georgia,US,3/22/2020 23:45,3,0,0
Georgia,US,3/22/2020 23:45,3,0,0
Georgia,US,3/22/2020 23:45,3,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,1,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,2,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Georgia,US,3/22/2020 23:45,1,0,0
Colorado,US,3/22/2020 23:45,125,0,0
Colorado,US,3/22/2020 23:45,80,1,0
Colorado,US,3/22/2020 23:45,51,3,0
Colorado,US,3/22/2020 23:45,51,0,0
Colorado,US,3/22/2020 23:45,45,0,0
Colorado,US,3/22/2020 23:45,37,1,0
Colorado,US,3/22/2020 23:45,37,0,0
Colorado,US,3/22/2020 23:45,33,0,0
Colorado,US,3/22/2020 23:45,32,0,0
Colorado,US,3/22/2020 23:45,22,0,0
Colorado,US,3/22/2020 23:45,18,0,0
Colorado,US,3/22/2020 23:45,16,0,0
Colorado,US,3/22/2020 23:45,8,0,0
Colorado,US,3/22/2020 23:45,7,0,0
Colorado,US,3/22/2020 23:45,3,0,0
Colorado,US,3/22/2020 23:45,3,0,0
Colorado,US,3/22/2020 23:45,3,0,0
Colorado,US,3/22/2020 23:45,3,0,0
Colorado,US,3/22/2020 23:45,3,0,0
Colorado,US,3/22/2020 23:45,2,0,0
Colorado,US,3/22/2020 23:45,2,0,0
Colorado,US,3/22/2020 23:45,2,0,0
Colorado,US,3/22/2020 23:45,1,1,0
Colorado,US,3/22/2020 23:45,1,0,0
Colorado,US,3/22/2020 23:45,1,0,0
Colorado,US,3/22/2020 23:45,1,0,0
Colorado,US,3/22/2020 23:45,1,0,0
Colorado,US,3/22/2020 23:45,1,0,0
Colorado,US,3/22/2020 23:45,1,0,0
Colorado,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,110,1,0
Pennsylvania,US,3/22/2020 23:45,96,0,0
Pennsylvania,US,3/22/2020 23:45,43,0,0
Pennsylvania,US,3/22/2020 23:45,40,1,0
Pennsylvania,US,3/22/2020 23:45,34,0,0
Pennsylvania,US,3/22/2020 23:45,31,0,0
Pennsylvania,US,3/22/2020 23:45,23,0,0
Pennsylvania,US,3/22/2020 23:45,21,1,0
Pennsylvania,US,3/22/2020 23:45,19,1,0
Pennsylvania,US,3/22/2020 23:45,13,0,0
Pennsylvania,US,3/22/2020 23:45,11,0,0
Pennsylvania,US,3/22/2020 23:45,10,0,0
Pennsylvania,US,3/22/2020 23:45,7,0,0
Pennsylvania,US,3/22/2020 23:45,7,0,0
Pennsylvania,US,3/22/2020 23:45,6,0,0
Pennsylvania,US,3/22/2020 23:45,6,0,0
Pennsylvania,US,3/22/2020 23:45,5,0,0
Pennsylvania,US,3/22/2020 23:45,4,0,0
Pennsylvania,US,3/22/2020 23:45,3,0,0
Pennsylvania,US,3/22/2020 23:45,3,0,0
Pennsylvania,US,3/22/2020 23:45,3,0,0
Pennsylvania,US,3/22/2020 23:45,2,0,0
Pennsylvania,US,3/22/2020 23:45,2,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Pennsylvania,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,167,2,0
Tennessee,US,3/22/2020 23:45,82,0,0
Tennessee,US,3/22/2020 23:45,66,0,0
Tennessee,US,3/22/2020 23:45,48,0,0
Tennessee,US,3/22/2020 23:45,30,0,0
Tennessee,US,3/22/2020 23:45,22,0,0
Tennessee,US,3/22/2020 23:45,8,0,0
Tennessee,US,3/22/2020 23:45,8,0,0
Tennessee,US,3/22/2020 23:45,6,0,0
Tennessee,US,3/22/2020 23:45,5,0,0
Tennessee,US,3/22/2020 23:45,5,0,0
Tennessee,US,3/22/2020 23:45,4,0,0
Tennessee,US,3/22/2020 23:45,4,0,0
Tennessee,US,3/22/2020 23:45,3,0,0
Tennessee,US,3/22/2020 23:45,3,0,0
Tennessee,US,3/22/2020 23:45,3,0,0
Tennessee,US,3/22/2020 23:45,3,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,2,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Tennessee,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,182,2,0
Wisconsin,US,3/22/2020 23:45,61,0,0
Wisconsin,US,3/22/2020 23:45,30,0,0
Wisconsin,US,3/22/2020 23:45,16,1,0
Wisconsin,US,3/22/2020 23:45,14,0,0
Wisconsin,US,3/22/2020 23:45,13,1,0
Wisconsin,US,3/22/2020 23:45,10,0,0
Wisconsin,US,3/22/2020 23:45,6,0,0
Wisconsin,US,3/22/2020 23:45,5,0,0
Wisconsin,US,3/22/2020 23:45,5,0,0
Wisconsin,US,3/22/2020 23:45,5,0,0
Wisconsin,US,3/22/2020 23:45,4,0,0
Wisconsin,US,3/22/2020 23:45,4,0,0
Wisconsin,US,3/22/2020 23:45,3,0,0
Wisconsin,US,3/22/2020 23:45,3,0,0
Wisconsin,US,3/22/2020 23:45,3,0,0
Wisconsin,US,3/22/2020 23:45,2,0,0
Wisconsin,US,3/22/2020 23:45,2,0,0
Wisconsin,US,3/22/2020 23:45,2,0,0
Wisconsin,US,3/22/2020 23:45,2,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Wisconsin,US,3/22/2020 23:45,1,0,0
Ohio,US,3/22/2020 23:45,125,1,0
Ohio,US,3/22/2020 23:45,34,0,0
Ohio,US,3/22/2020 23:45,23,0,0
Ohio,US,3/22/2020 23:45,19,0,0
Ohio,US,3/22/2020 23:45,19,0,0
Ohio,US,3/22/2020 23:45,18,0,0
Ohio,US,3/22/2020 23:45,17,0,0
Ohio,US,3/22/2020 23:45,13,0,0
Ohio,US,3/22/2020 23:45,10,0,0
Ohio,US,3/22/2020 23:45,10,0,0
Ohio,US,3/22/2020 23:45,7,1,0
Ohio,US,3/22/2020 23:45,6,0,0
Ohio,US,3/22/2020 23:45,6,0,0
Ohio,US,3/22/2020 23:45,5,0,0
Ohio,US,3/22/2020 23:45,5,0,0
Ohio,US,3/22/2020 23:45,3,0,0
Ohio,US,3/22/2020 23:45,3,0,0
Ohio,US,3/22/2020 23:45,2,0,0
Ohio,US,3/22/2020 23:45,2,0,0
Ohio,US,3/22/2020 23:45,2,0,0
Ohio,US,3/22/2020 23:45,2,0,0
Ohio,US,3/22/2020 23:45,2,0,0
Ohio,US,3/22/2020 23:45,2,0,0
Ohio,US,3/22/2020 23:45,2,0,0
Ohio,US,3/22/2020 23:45,1,0,0
Ohio,US,3/22/2020 23:45,1,0,0
Ohio,US,3/22/2020 23:45,1,0,0
Ohio,US,3/22/2020 23:45,1,0,0
